DISTRICT,CUSTODIAL RAPE,OTHER IPC CRIMES,STATE/UT,OTHER RAPE,CRIMINAL BREACH OF TRUST,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,THEFT,RAPE,RIOTS,KIDNAPPING & ABDUCTION,ROBBERY,YEAR,AUTO THEFT,OTHER THEFT,ATTEMPT TO MURDER,MURDER,ARSON,TOTAL IPC CRIMES,DACOITY,COUNTERFIETING,BURGLARY,CHEATING
VADODARA RURAL,0,1723,GUJARAT,12,78,0,222,12,142,45,18,2002,41,181,29,81,150,3377,46,0,79,21
VALSAD,0,1510,GUJARAT,3,51,0,398,3,53,21,18,2002,130,268,14,39,13,2746,15,2,259,27
W.RLY,0,207,GUJARAT,3,9,0,842,3,13,9,83,2002,2,840,7,21,0,1287,4,0,20,4
TOTAL,0,50612,GUJARAT,267,1385,13,15742,267,3665,1015,1098,2002,6195,9547,759,1532,1915,106675,804,46,5327,1457
AMBALA,0,987,HARYANA,15,18,7,331,15,4,21,11,2002,123,208,18,25,10,2172,0,2,251,64
BHIWANI,0,896,HARYANA,17,20,5,206,17,110,16,14,2002,97,109,24,35,20,1938,6,1,140,62
FARIDABAD,0,3911,HARYANA,37,116,7,677,37,130,61,26,2002,441,236,38,57,12,6999,2,3,240,71
FATEHABAD,0,482,HARYANA,7,5,5,156,7,15,22,18,2002,64,92,21,16,7,1226,0,3,105,44
GRP,0,424,HARYANA,1,0,2,203,1,6,0,3,2002,34,169,1,25,0,770,1,1,2,6
GURGAON,0,1578,HARYANA,27,41,15,772,27,71,50,46,2002,440,332,50,66,23,3623,9,3,301,42
HISSAR,0,1058,HARYANA,15,18,2,402,15,23,24,28,2002,255,147,49,52,8,2545,3,0,211,122
JHAJJAR,0,487,HARYANA,18,43,3,198,18,55,14,18,2002,90,108,25,41,0,1518,2,3,94,34
JIND,0,531,HARYANA,19,61,12,134,19,75,15,9,2002,77,57,13,33,7,1325,1,2,100,33
KAITHAL,0,364,HARYANA,7,44,9,151,7,0,7,3,2002,69,82,21,26,23,1121,2,1,86,17
KARNAL,0,309,HARYANA,37,17,5,383,37,42,16,14,2002,185,198,28,39,6,2173,4,3,216,49
KURUKSHETRA,0,786,HARYANA,15,21,4,321,15,0,18,11,2002,148,173,13,31,3,1856,2,2,181,123
MAHENDRAGARH,0,748,HARYANA,16,19,2,112,16,46,19,5,2002,40,72,9,21,19,1303,4,0,71,9
PANCHKULA,0,497,HARYANA,13,20,1,201,13,1,19,5,2002,77,124,2,7,3,1187,1,1,136,42
PANIPAT,1,564,HARYANA,42,37,4,449,43,37,30,27,2002,217,232,25,46,5,2096,4,1,173,27
REWARI,0,695,HARYANA,10,32,1,152,10,27,11,9,2002,70,82,9,21,15,1293,4,0,89,9
ROHTAK,0,632,HARYANA,17,19,0,359,17,36,16,27,2002,218,141,39,63,13,1883,4,2,225,46
SIRSA,0,652,HARYANA,20,23,4,229,20,18,22,16,2002,98,131,37,43,5,1778,2,1,175,56
SONIPAT,0,635,HARYANA,14,20,1,319,14,4,24,35,2002,127,192,49,82,11,2046,5,3,167,56
YAMUNANAGAR,0,618,HARYANA,13,5,0,207,13,0,22,5,2002,85,122,16,31,9,1300,5,0,85,21
TOTAL,1,16854,HARYANA,360,579,89,5962,361,700,427,330,2002,2955,3007,487,760,199,40152,61,32,3048,933
BILASPUR,0,705,HIMACHAL PRADESH,9,12,1,56,9,119,8,1,2002,11,45,15,11,32,1217,0,0,59,7
CHAMBA,0,301,HIMACHAL PRADESH,16,5,0,25,16,13,14,1,2002,3,22,2,15,8,677,0,0,127,6
G.R.P.,0,2,HIMACHAL PRADESH,0,0,0,1,0,2,1,0,2002,0,1,0,0,0,8,0,0,1,0
HAMIRPUR,0,440,HIMACHAL PRADESH,3,7,1,28,3,36,14,1,2002,6,22,6,8,6,851,0,0,18,11
KANGRA,0,1169,HIMACHAL PRADESH,14,4,1,86,14,95,20,2,2002,26,60,22,28,24,1961,0,0,90,30
KINNAUR,0,50,HIMACHAL PRADESH,4,1,0,11,4,10,3,0,2002,0,11,0,2,1,154,0,0,19,1
KULLU,0,493,HIMACHAL PRADESH,14,5,1,29,14,23,11,0,2002,8,21,2,8,4,743,0,0,30,10
LAHAUL-SPITI,0,41,HIMACHAL PRADESH,0,2,0,5,0,0,0,1,2002,0,5,0,2,0,68,0,0,5,0
MANDI,0,1068,HIMACHAL PRADESH,24,6,2,70,24,56,9,3,2002,23,47,9,5,38,1775,0,0,85,13
SHIMLA,0,1311,HIMACHAL PRADESH,27,13,0,119,27,115,22,2,2002,26,93,10,15,10,2008,0,0,120,26
SIRMAUR,0,339,HIMACHAL PRADESH,11,6,0,24,11,74,10,1,2002,5,19,9,9,10,712,0,0,44,11
SOLAN,0,609,HIMACHAL PRADESH,9,8,0,62,9,60,18,2,2002,16,46,6,7,2,1266,0,0,63,7
UNA,0,393,HIMACHAL PRADESH,6,6,0,48,6,43,8,4,2002,18,30,5,13,10,803,0,0,49,15
TOTAL,0,6921,HIMACHAL PRADESH,137,75,6,564,137,646,138,18,2002,142,422,86,123,145,12243,0,0,710,137
ANANTNAG,0,501,JAMMU & KASHMIR,16,10,2,91,16,49,67,26,2002,15,76,96,86,45,1358,4,3,142,19
AWANTIPORA,0,182,JAMMU & KASHMIR,1,0,0,18,1,10,16,17,2002,2,16,0,26,1,309,2,0,7,8
BARAMULLA,0,533,JAMMU & KASHMIR,14,2,2,155,14,125,87,15,2002,22,133,111,121,22,1476,4,4,129,16
BORDER,0,535,JAMMU & KASHMIR,5,2,1,16,5,30,14,3,2002,4,12,26,7,4,740,0,0,12,6
BUDGAM,0,310,JAMMU & KASHMIR,12,2,2,109,12,87,40,3,2002,16,93,23,46,18,831,2,0,47,13
CRIME JAMMU,0,2,JAMMU & KASHMIR,0,1,0,0,0,0,0,0,2002,0,0,0,1,0,48,0,0,0,44
CRIME SRINAGAR,0,0,JAMMU & KASHMIR,0,1,0,0,0,0,0,0,2002,0,0,0,1,0,63,0,0,0,61
DODA,0,312,JAMMU & KASHMIR,15,6,0,21,15,17,19,2,2002,0,21,118,105,29,726,1,2,30,3
GANDERBAL,0,180,JAMMU & KASHMIR,7,2,1,53,7,71,39,2,2002,21,32,5,22,8,519,0,1,39,6
HANDWARA,0,203,JAMMU & KASHMIR,0,0,5,23,0,27,23,0,2002,0,23,72,47,9,472,1,0,20,3
JAMMU,0,2015,JAMMU & KASHMIR,7,16,8,407,7,74,60,4,2002,165,242,79,23,9,3236,7,1,223,48
KARGIL,0,54,JAMMU & KASHMIR,1,0,0,5,1,4,2,0,2002,1,4,1,0,1,71,0,0,2,1
KATHUA,0,604,JAMMU & KASHMIR,11,1,1,47,11,44,13,1,2002,11,36,25,15,7,968,0,0,47,12
KULGAM,0,257,JAMMU & KASHMIR,7,8,1,43,7,57,45,17,2002,5,38,4,41,17,585,0,4,33,8
KUPWARA,0,175,JAMMU & KASHMIR,5,3,0,24,5,55,28,0,2002,1,23,124,56,36,597,0,0,25,10
LEH,0,93,JAMMU & KASHMIR,3,0,0,5,3,3,1,0,2002,1,4,1,6,0,128,0,0,13,1
POONCH,0,221,JAMMU & KASHMIR,9,1,0,46,9,7,14,0,2002,0,46,140,84,27,625,0,0,11,13
PULWAMA,0,252,JAMMU & KASHMIR,12,2,2,115,12,120,44,32,2002,14,101,109,55,20,953,9,2,80,14
RAILWAYS,0,7,JAMMU & KASHMIR,0,0,0,7,0,0,0,0,2002,1,6,0,2,0,19,0,0,0,0
RAJOURI,0,712,JAMMU & KASHMIR,13,4,0,38,13,4,13,2,2002,2,36,104,97,25,1100,2,0,22,12
RAMBAN,0,318,JAMMU & KASHMIR,7,3,0,27,7,6,6,0,2002,0,27,69,62,24,566,0,1,25,2
REASI,0,152,JAMMU & KASHMIR,8,2,2,28,8,4,16,3,2002,0,28,62,45,32,377,3,0,7,0
SRINAGAR,0,1056,JAMMU & KASHMIR,24,18,4,639,24,154,117,33,2002,376,263,50,86,48,3104,6,2,335,76
UDHAMPUR,0,716,JAMMU & KASHMIR,15,7,0,103,15,48,10,3,2002,7,96,21,14,4,1096,1,0,72,6
TOTAL,0,9390,JAMMU & KASHMIR,192,91,31,2020,192,996,674,163,2002,664,1356,1240,1048,386,19967,42,20,1321,382
BOKARO,0,381,JHARKHAND,48,28,2,445,48,180,40,64,2002,95,350,108,58,10,2194,40,2,132,24
CHAIBASA,0,204,JHARKHAND,37,15,38,98,37,34,19,14,2002,5,93,42,134,9,730,7,0,34,2
CHATRA,0,481,JHARKHAND,18,0,0,83,18,123,4,19,2002,24,59,4,31,3,840,31,0,19,3
DEOGHAR,0,764,JHARKHAND,37,0,4,98,37,145,5,25,2002,20,78,34,36,7,1283,13,0,53,0
DHANBAD,0,1561,JHARKHAND,38,40,13,493,38,237,72,64,2002,31,462,42,88,9,3201,69,1,149,61
DHANBAD RLY.,0,77,JHARKHAND,2,0,0,240,2,11,2,32,2002,0,240,0,5,0,408,21,0,8,4
DUMKA,0,220,JHARKHAND,50,45,4,88,50,99,15,13,2002,0,88,149,67,7,1008,7,0,54,10
GARHWA,0,229,JHARKHAND,32,9,3,68,32,107,9,20,2002,0,68,17,39,9,869,17,0,29,10
GIRIDIH,0,1008,JHARKHAND,39,6,4,128,39,108,23,42,2002,2,126,27,72,22,1955,49,0,91,27
GODDA,0,1310,JHARKHAND,86,7,0,128,86,125,21,10,2002,0,128,36,31,0,2203,9,0,46,17
GUMLA,0,265,JHARKHAND,31,10,8,58,31,32,9,41,2002,7,51,32,108,0,689,23,0,37,6
HAZARIBAGH,0,1035,JHARKHAND,71,16,11,537,71,198,33,66,2002,44,493,59,86,14,2621,60,0,103,73
JAMSHEDPUR,0,1149,JHARKHAND,76,60,9,539,76,114,50,29,2002,135,404,180,81,19,2755,8,0,156,64
JAMSHEDPUR RLY.,0,56,JHARKHAND,1,0,0,114,1,3,1,6,2002,4,110,0,2,0,201,5,0,6,1
JAMTARA,0,135,JHARKHAND,25,0,2,69,25,39,13,6,2002,4,65,33,18,2,534,4,1,30,5
KODERMA,0,178,JHARKHAND,6,8,0,50,6,103,13,24,2002,6,44,25,30,4,785,39,0,13,15
LATEHAR,0,173,JHARKHAND,12,1,2,33,12,20,8,13,2002,0,33,14,43,5,456,27,0,12,4
LOHARDAGGA,0,230,JHARKHAND,14,6,1,29,14,23,2,22,2002,1,28,9,44,3,432,3,2,16,4
PAKUR,0,349,JHARKHAND,37,2,4,32,37,44,6,13,2002,2,30,7,37,3,584,5,0,16,11
PALAMU,0,499,JHARKHAND,14,4,3,99,14,167,16,40,2002,4,95,48,69,27,1549,31,0,111,4
RANCHI,0,1992,JHARKHAND,55,64,0,729,55,263,67,181,2002,159,570,161,270,7,4306,85,0,222,51
SAHEBGANJ,0,242,JHARKHAND,26,4,2,98,26,65,22,17,2002,6,92,58,45,4,730,5,0,21,19
SARAIKELA,0,308,JHARKHAND,26,8,2,115,26,31,16,7,2002,8,107,36,51,0,824,12,0,45,16
SIMDEGA,0,123,JHARKHAND,16,0,3,3,16,10,2,12,2002,3,0,22,43,3,282,10,0,16,10
TOTAL,0,12969,JHARKHAND,797,333,115,4374,797,2281,468,780,2002,560,3814,1143,1488,167,31439,580,6,1419,441
BAGALKOT,0,842,KARNATAKA,4,11,2,147,4,209,17,1,2002,35,112,38,51,6,1915,2,1,74,28
BANGALORE COMMR.,0,11801,KARNATAKA,32,180,4,7081,32,284,159,365,2002,2754,4327,311,201,1,29120,27,107,2084,1788
BANGALORE RURAL,0,3459,KARNATAKA,22,37,7,767,22,480,38,54,2002,129,638,114,153,41,7310,23,1,498,63
BELGAUM,0,2442,KARNATAKA,6,18,1,272,6,370,26,48,2002,107,165,60,113,19,4726,12,10,203,137
BELLARY,0,1366,KARNATAKA,11,6,0,265,11,271,13,18,2002,65,200,58,62,15,3088,2,5,189,29
BIDAR,0,2394,KARNATAKA,8,4,0,208,8,166,23,29,2002,42,166,62,49,29,4417,6,0,222,31
BIJAPUR,0,1132,KARNATAKA,3,4,2,117,3,326,30,22,2002,32,85,53,62,27,2762,12,0,138,23
CHAMARAJNAGAR,0,444,KARNATAKA,4,2,0,99,4,222,6,6,2002,11,88,24,29,22,1327,4,2,46,2
CHICKMAGALUR,0,1068,KARNATAKA,18,7,2,237,18,166,12,11,2002,45,192,64,36,7,2796,1,0,159,12
CHITRADURGA,0,1437,KARNATAKA,12,16,1,165,12,319,7,15,2002,37,128,18,37,6,2986,3,0,113,18
DAKSHIN KANNADA,0,2178,KARNATAKA,9,11,0,208,9,141,6,9,2002,103,105,27,26,17,3429,3,11,173,49
DAVANAGERE,0,1383,KARNATAKA,14,13,7,279,14,276,18,43,2002,75,204,26,57,2,3106,8,2,176,39
DHARWAD COMMR.,0,1051,KARNATAKA,1,13,0,269,1,122,16,38,2002,123,146,36,17,9,2021,7,2,105,61
DHARWAD RURAL,0,487,KARNATAKA,0,1,0,34,0,89,7,4,2002,2,32,13,35,2,905,2,0,42,9
GADAG,0,389,KARNATAKA,3,8,0,72,3,133,4,4,2002,29,43,22,15,2,928,3,3,49,20
GULBARGA,0,1484,KARNATAKA,24,6,7,258,24,368,43,46,2002,56,202,76,79,19,4003,3,1,173,47
HASSAN,0,1553,KARNATAKA,11,19,1,287,11,242,26,22,2002,70,217,65,74,91,4100,3,2,195,13
HAVERI,0,1055,KARNATAKA,2,10,2,107,2,276,10,8,2002,25,82,19,18,0,1955,5,2,69,23
K.G.F.,0,281,KARNATAKA,6,1,0,255,6,79,3,7,2002,34,221,16,14,0,1054,0,1,94,16
KODAGU,0,476,KARNATAKA,4,2,2,76,4,74,6,4,2002,16,60,29,35,3,1365,0,1,145,15
KOLAR,0,1667,KARNATAKA,18,10,1,362,18,367,36,29,2002,69,293,71,73,0,3553,6,2,141,25
KOPPAL,0,622,KARNATAKA,6,8,0,82,6,126,26,10,2002,10,72,37,19,7,1393,7,4,90,25
MANDYA,0,2236,KARNATAKA,30,7,0,274,30,266,18,30,2002,58,216,56,61,0,4745,4,0,249,14
MYSORE COMMR.,0,732,KARNATAKA,7,22,1,279,7,48,10,31,2002,128,151,38,22,0,1762,1,1,97,38
MYSORE RURAL,0,966,KARNATAKA,5,9,1,217,5,231,16,5,2002,27,190,45,62,0,2798,3,0,149,12
RAICHUR,0,917,KARNATAKA,6,14,7,138,6,256,25,9,2002,36,102,67,59,19,2522,9,4,142,112
RAILWAYS,0,152,KARNATAKA,0,0,0,380,0,118,0,15,2002,6,374,1,14,1,724,4,2,5,2
SHIMOGA,0,1750,KARNATAKA,11,11,2,349,11,247,14,42,2002,87,262,47,53,21,4165,3,4,209,42
TUMKUR,0,1884,KARNATAKA,9,22,4,371,9,255,19,29,2002,103,268,49,58,66,4180,13,0,242,38
UDUPI,0,1359,KARNATAKA,1,11,0,80,1,188,9,11,2002,38,42,22,15,1,2209,2,2,127,15
UTTAR KANNADA,0,1501,KARNATAKA,5,2,1,83,5,123,2,7,2002,24,59,12,28,4,2335,0,5,82,18
TOTAL,0,50508,KARNATAKA,292,485,55,13818,292,6838,645,972,2002,4376,9442,1576,1627,437,113699,178,175,6480,2764
ALAPUZHA,0,4608,KERALA,13,19,1,244,13,548,14,19,2002,128,116,30,18,38,7578,5,5,234,129
CBCID,0,80,KERALA,0,13,2,4,0,22,1,3,2002,0,4,8,15,2,240,3,46,10,26
ERNAKULAM,0,10360,KERALA,27,35,18,1159,27,686,12,119,2002,316,843,80,36,24,15673,27,6,649,321
IDUKKI,0,2035,KERALA,26,19,2,215,26,323,0,9,2002,33,182,18,32,19,4646,6,0,185,60
KANNUR,0,2421,KERALA,21,3,7,197,21,567,14,17,2002,88,109,63,28,3,5024,4,8,242,123
KASARGOD,0,1172,KERALA,25,5,6,146,25,407,13,11,2002,94,52,22,20,0,2770,0,4,145,69
KOLLAM,0,4814,KERALA,60,8,59,319,60,778,20,42,2002,153,166,49,41,66,9877,12,13,403,158
KOTTAYAM,0,3631,KERALA,28,40,7,379,28,439,15,65,2002,103,276,22,20,19,7316,6,7,337,275
KOZHIKODE,0,4413,KERALA,53,42,18,569,53,973,5,27,2002,230,339,39,21,67,8746,3,9,479,383
MALAPPURAM,0,3545,KERALA,70,19,14,319,70,597,11,12,2002,150,169,28,26,27,6532,4,3,216,273
PALAKKAD,0,2601,KERALA,48,53,10,311,48,609,10,39,2002,112,199,42,51,64,6135,17,6,352,138
PATHANAMTHITTA,0,2378,KERALA,12,11,15,186,12,295,0,19,2002,80,106,24,28,22,4468,1,2,195,61
RAILWAYS,0,55,KERALA,0,0,0,302,0,16,0,0,2002,2,300,0,0,0,387,0,0,3,1
THRISSUR,0,6176,KERALA,30,28,42,405,30,642,11,78,2002,176,229,59,52,22,10049,15,10,361,406
TRIVANDRUM,0,5948,KERALA,56,48,9,853,56,964,36,138,2002,283,570,69,58,67,12690,27,15,717,397
WAYANADU,0,857,KERALA,30,14,0,135,30,224,0,12,2002,30,105,9,8,12,2069,7,1,96,104
TOTAL,0,55094,KERALA,499,357,210,5743,499,8090,162,610,2002,1978,3765,562,454,452,104200,137,135,4624,2924
BALAGHAT,0,1498,MADHYA PRADESH,87,5,3,236,87,30,9,23,2002,42,194,41,69,22,3005,4,0,244,8
BARWANI,0,962,MADHYA PRADESH,30,1,0,108,30,36,4,6,2002,24,84,34,37,12,1787,2,0,48,16
BETUL,0,1420,MADHYA PRADESH,115,6,0,169,115,11,22,17,2002,28,141,50,65,15,2902,0,1,158,21
BHIND,0,1723,MADHYA PRADESH,33,6,2,308,33,107,29,36,2002,26,282,106,72,30,3665,1,4,218,36
BHOPAL,0,10100,MADHYA PRADESH,98,26,0,1500,98,79,41,103,2002,560,940,92,62,10,14217,1,4,908,110
BHOPAL RLY.,0,293,MADHYA PRADESH,1,0,0,924,1,8,0,33,2002,8,916,5,7,1,1315,0,0,12,6
CHHATARPUR,0,1982,MADHYA PRADESH,76,5,1,171,76,76,25,34,2002,0,171,66,70,19,3680,4,1,261,31
CHHINDWARA,0,1508,MADHYA PRADESH,82,9,4,194,82,65,10,30,2002,57,137,46,81,27,3834,1,0,183,24
DAMOH,0,900,MADHYA PRADESH,57,2,0,175,57,19,14,20,2002,21,154,57,49,15,2785,1,0,137,9
DATIYA,0,888,MADHYA PRADESH,22,1,0,128,22,19,12,21,2002,19,109,63,54,15,1875,4,0,93,11
DEWAS,0,3747,MADHYA PRADESH,97,15,0,902,97,145,33,82,2002,126,776,76,53,43,6531,18,0,374,53
DHAR,0,2933,MADHYA PRADESH,74,33,0,653,74,69,30,42,2002,96,557,101,90,32,5397,3,0,315,17
DINDORI,0,492,MADHYA PRADESH,26,0,0,22,26,21,2,0,2002,5,17,7,26,8,865,0,0,53,5
GUNA,0,2605,MADHYA PRADESH,148,11,9,372,148,167,7,52,2002,57,315,74,64,38,6268,8,1,388,19
GWALIOR,0,3456,MADHYA PRADESH,69,41,3,872,69,154,79,133,2002,282,590,126,102,30,7690,10,3,999,89
HARDA,0,240,MADHYA PRADESH,28,3,0,68,28,21,3,6,2002,16,52,13,18,3,876,0,0,50,5
HOSHANGABAD,0,1451,MADHYA PRADESH,62,4,97,339,62,29,21,40,2002,74,265,86,48,12,3156,0,2,311,39
INDORE,0,8202,MADHYA PRADESH,93,60,1,2896,93,134,47,142,2002,1370,1526,135,109,29,14934,6,6,974,122
INDORE RLY.,0,81,MADHYA PRADESH,1,0,0,164,1,3,1,6,2002,2,162,4,3,0,278,0,0,1,0
JABALPUR,0,3461,MADHYA PRADESH,80,4,4,987,80,65,32,115,2002,390,597,146,73,29,9290,1,6,567,78
JABALPUR RLY.,0,104,MADHYA PRADESH,0,2,0,208,0,2,0,11,2002,4,204,2,2,0,345,1,0,1,0
JHABUA,0,1401,MADHYA PRADESH,29,6,0,230,29,32,68,15,2002,12,218,129,133,78,3104,2,0,143,6
KATNI,0,612,MADHYA PRADESH,37,2,2,210,37,25,3,31,2002,61,149,37,40,16,2403,1,5,185,17
KHANDWA,0,2526,MADHYA PRADESH,71,17,0,370,71,60,17,12,2002,80,290,41,33,16,3983,4,0,337,31
KHARGON,0,2138,MADHYA PRADESH,50,32,43,472,50,83,27,16,2002,38,434,39,37,9,3696,7,0,201,20
MANDLA,0,895,MADHYA PRADESH,43,3,0,98,43,23,5,6,2002,11,87,26,21,8,1823,0,0,114,10
MANDSAUR,0,1315,MADHYA PRADESH,45,25,0,406,45,68,17,14,2002,102,304,38,34,18,2812,0,4,185,28
MORENA,0,2167,MADHYA PRADESH,46,11,3,533,46,154,27,79,2002,79,454,116,62,20,5149,10,0,366,19
NARSINGHPUR,0,701,MADHYA PRADESH,88,5,2,163,88,46,7,10,2002,40,123,53,48,28,2443,1,0,134,5
NEEMUCH,0,1003,MADHYA PRADESH,26,21,2,310,26,45,13,28,2002,77,233,23,19,4,2223,1,1,158,18
PANNA,0,1109,MADHYA PRADESH,35,3,1,105,35,12,12,18,2002,8,97,30,35,10,1717,1,0,110,9
RAISEN,0,1526,MADHYA PRADESH,98,8,0,169,98,45,10,23,2002,18,151,70,34,22,3080,1,7,148,11
RAJGARH,0,2662,MADHYA PRADESH,80,3,0,290,80,186,11,27,2002,44,246,57,36,56,4301,2,0,149,14
RATLAM,0,1641,MADHYA PRADESH,67,17,1,403,67,46,10,39,2002,95,308,47,36,27,3332,0,1,222,18
REWA,0,2108,MADHYA PRADESH,32,2,1,436,32,87,36,91,2002,153,283,40,68,27,4569,7,1,760,18
SAGAR,0,2605,MADHYA PRADESH,136,12,0,501,136,183,30,39,2002,75,426,120,81,43,7303,0,0,414,46
SATNA,0,1992,MADHYA PRADESH,66,6,0,356,66,54,29,47,2002,121,235,72,62,20,4503,4,1,437,22
SEONI,0,1018,MADHYA PRADESH,44,4,2,144,44,32,4,7,2002,12,132,15,40,9,2038,0,1,98,29
SHAHDOL,0,2802,MADHYA PRADESH,72,7,1,392,72,38,13,47,2002,41,351,34,51,20,4734,7,1,390,25
SHAJAPUR,0,1316,MADHYA PRADESH,84,19,4,647,84,126,18,84,2002,91,556,57,42,39,3765,1,2,319,25
SHEOPUR,0,522,MADHYA PRADESH,28,6,0,93,28,41,20,13,2002,9,84,36,20,3,1339,4,0,100,4
SHIVPURI,0,2439,MADHYA PRADESH,73,2,0,227,73,115,18,23,2002,26,201,77,71,29,4429,3,0,172,19
SIDHI,0,2007,MADHYA PRADESH,46,3,3,345,46,28,17,21,2002,29,316,25,48,12,3606,3,0,296,15
SIHORE,0,2107,MADHYA PRADESH,63,12,2,362,63,37,51,13,2002,43,319,61,21,20,3897,5,0,364,39
TIKAMGARH,0,1367,MADHYA PRADESH,51,6,3,204,51,82,13,34,2002,24,180,58,45,38,3240,1,0,151,19
UJJAIN,0,4240,MADHYA PRADESH,68,30,0,1528,68,164,47,100,2002,288,1240,172,54,50,8425,3,2,783,51
UMARIYA,0,738,MADHYA PRADESH,20,3,0,83,20,20,1,25,2002,9,74,7,28,6,1272,0,0,87,5
VIDISHA,0,1920,MADHYA PRADESH,114,8,0,286,114,86,19,15,2002,52,234,54,42,35,3918,3,0,226,18
TOTAL,0,94923,MADHYA PRADESH,2891,507,194,20759,2891,3178,964,1829,2002,4845,15914,2864,2395,1053,191799,136,54,13344,1240
AHMEDNAGAR,0,1050,MAHARASHTRA,45,56,6,841,45,296,27,97,2002,239,602,45,82,38,4506,19,1,352,69
AKOLA,0,1269,MAHARASHTRA,28,19,0,729,28,120,21,41,2002,82,647,34,59,40,3886,8,9,314,37
AMRAVATI COMMR.,0,655,MAHARASHTRA,18,18,1,791,18,50,12,42,2002,127,664,25,27,16,2665,2,2,275,52
AMRAVATI RURAL,0,880,MAHARASHTRA,66,16,3,1052,66,85,22,47,2002,42,1010,36,58,59,3922,15,0,392,26
AURANGABAD COMMR.,0,590,MAHARASHTRA,8,12,0,535,8,124,20,58,2002,198,337,18,32,12,2440,8,1,248,96
AURANGABAD RURAL,0,613,MAHARASHTRA,12,10,0,291,12,158,11,32,2002,41,250,29,50,53,2703,13,1,131,26
BEED,0,677,MAHARASHTRA,25,31,0,431,25,313,23,64,2002,65,366,51,69,38,3288,18,0,198,43
BHANDARA,0,744,MAHARASHTRA,32,14,2,340,32,66,16,14,2002,37,303,13,36,43,2258,1,0,228,25
BULDHANA,0,924,MAHARASHTRA,30,21,2,728,30,169,18,42,2002,44,684,35,50,87,3665,22,4,259,43
CHANDRAPUR,0,886,MAHARASHTRA,29,31,6,471,29,128,24,28,2002,54,417,19,52,42,2970,5,5,249,50
DHULE,0,673,MAHARASHTRA,16,21,1,355,16,82,8,14,2002,73,282,25,46,23,2149,4,0,96,40
GADCHIROLI,0,440,MAHARASHTRA,22,17,4,113,22,33,9,11,2002,7,106,33,51,42,1403,12,0,113,17
GONDIA,0,595,MAHARASHTRA,25,15,0,318,25,23,21,14,2002,42,276,16,44,8,1959,5,10,217,24
HINGOLI,0,431,MAHARASHTRA,17,18,1,163,17,74,7,34,2002,16,147,15,32,18,1629,7,1,103,21
JALGAON,0,1421,MAHARASHTRA,22,46,2,626,22,184,21,29,2002,100,526,39,81,13,4302,20,8,316,55
JALNA,0,558,MAHARASHTRA,14,16,1,272,14,128,11,38,2002,37,235,28,48,28,2326,10,0,187,47
KOLHAPUR,0,870,MAHARASHTRA,17,46,3,472,17,138,15,17,2002,162,310,42,65,18,2990,16,3,220,70
LATUR,0,846,MAHARASHTRA,4,32,2,264,4,166,19,45,2002,55,209,27,39,30,2832,8,2,102,41
MUMBAI,0,5950,MAHARASHTRA,128,342,7,10166,128,143,119,291,2002,3101,7065,134,252,5,26276,33,76,2597,1155
MUMBAI RLY.,0,102,MAHARASHTRA,2,12,0,1694,2,8,7,22,2002,2,1692,3,3,0,1942,1,3,4,35
NAGPUR COMMR.,0,2408,MAHARASHTRA,49,50,0,2511,49,254,50,146,2002,845,1666,54,98,23,8722,12,14,1307,235
NAGPUR RLY.,0,166,MAHARASHTRA,0,5,1,797,0,8,0,16,2002,9,788,2,7,1,1052,8,7,2,2
NAGPUR RURAL,0,1574,MAHARASHTRA,66,24,1,998,66,132,25,61,2002,76,922,35,95,90,5053,10,1,401,38
NANDED,0,2072,MAHARASHTRA,29,21,0,542,29,191,40,100,2002,84,458,85,83,72,5799,20,1,373,110
NANDURBAR,0,277,MAHARASHTRA,28,15,0,146,28,82,5,14,2002,23,123,9,26,9,1178,5,1,103,27
NASIK COMMR.,0,592,MAHARASHTRA,12,23,2,612,12,131,17,32,2002,211,401,9,25,4,2521,5,0,369,98
NASIK RURAL,0,1252,MAHARASHTRA,38,40,1,481,38,365,14,37,2002,97,384,44,90,45,4783,21,0,301,53
NAVI MUMBAI,0,652,MAHARASHTRA,24,68,1,890,24,66,18,50,2002,320,570,21,48,3,3071,14,5,333,197
OSMANABAD,0,661,MAHARASHTRA,28,22,3,277,28,173,15,26,2002,17,260,17,46,32,2656,10,0,143,30
PARBHANI,0,342,MAHARASHTRA,19,9,0,229,19,143,11,68,2002,45,184,31,55,24,2366,7,0,141,38
PUNE COMMR.,0,2088,MAHARASHTRA,51,72,0,2447,51,702,36,80,2002,1197,1250,42,95,13,8504,8,0,836,346
PUNE RLY.,1,63,MAHARASHTRA,1,3,0,321,2,1,1,7,2002,0,321,3,1,0,409,0,0,0,5
PUNE RURAL,0,1301,MAHARASHTRA,42,33,7,706,42,185,16,61,2002,251,455,37,141,23,4518,16,2,296,41
RAIGAD,0,619,MAHARASHTRA,29,19,0,278,29,144,12,38,2002,49,229,21,43,17,2149,24,1,169,54
RATNAGIRI,0,343,MAHARASHTRA,13,11,0,175,13,49,5,12,2002,23,152,6,26,19,1222,1,1,144,22
SANGLI,0,734,MAHARASHTRA,33,25,0,446,33,107,22,22,2002,104,342,29,97,29,2688,13,0,225,90
